app,table,row_count
ryan,users,11
ryan,user_settings,14
ryan,auth_events,9
ryan,circle_signups,6
ryan,achievement_states,0
ryan,badges,14
ryan,landmarks,10
ryan,landmark_options,40
ryan,quests,5
ryan,rewards,8
ryan,skills,14
ryan,checkin_rewards,2
ryan,user_badges,0
ryan,user_checkins,0
ryan,user_landmarks,0
ryan,user_quests,0
ryan,user_rewards,0
ryan,user_skill_rewards,0
ryan,user_skills,0
sean,users,2
sean,matches,2
sean,messages,2
sean,profanities,3
sean,reports,0
reconnect,users,3
reconnect,posts,2
reconnect,comments,5
reconnect,post_likes,1
reconnect,challenges,3
reconnect,submissions,0
